LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303858.003489,322696.250,50577,4,EM,1,100,RS
1733303858.053740,322746.500,50577,4,EM,1,100,RB
1733303858.103990,322796.750,50577,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303858.154240,322847.000,50577,4,EM,1,100,PS
1733303858.204490,322897.250,50609,4,EM,1,100,RS
1733303858.254740,322947.500,50609,4,EM,1,100,RB
1733303858.304990,322997.750,50609,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303858.355241,323048.000,50609,4,EM,1,100,PS
1733303858.405491,323098.250,50645,4,EM,1,100,RS
1733303858.455741,323148.500,50645,4,EM,1,100,RB
1733303858.505991,323198.750,50645,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303858.556241,323249.000,50645,4,EM,1,100,PS
1733303858.607491,323300.250,50676,4,EM,1,100,RS
1733303858.658741,323351.500,50676,4,EM,1,100,RB
1733303858.709991,323402.750,50676,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303858.761242,323454.000,50676,4,EM,1,100,PS
1733303858.811242,323504.000,50710,4,EM,1,100,RS
1733303858.861242,323554.000,50710,4,EM,1,100,RB
1733303858.911242,323604.000,50710,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303858.961242,323654.000,50710,4,EM,1,100,PS
1733303859.011492,323704.250,50741,4,EM,1,100,RS
1733303859.061743,323754.500,50741,4,EM,1,100,RB
1733303859.111993,323804.750,50741,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303859.162243,323855.000,50741,4,EM,1,100,PS
1733303859.212493,323905.250,50777,4,EM,1,100,RS
1733303859.262743,323955.500,50777,4,EM,1,100,RB
1733303859.312993,324005.750,50777,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303859.363243,324056.000,50777,4,EM,1,100,PS
1733303859.434744,324127.500,50815,4,EM,1,100,RS
1733303859.506244,324199.000,50815,4,EM,1,100,RB
1733303859.577744,324270.500,50815,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303859.649244,324342.000,50815,4,EM,1,100,PS
1733303859.699995,324392.750,50846,4,EM,1,100,RS
1733303859.750745,324443.500,50846,4,EM,1,100,RB
1733303859.801495,324494.250,50846,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303859.852245,324545.000,50846,4,EM,1,100,PS
1733303859.902495,324595.250,50880,4,EM,1,100,RS
1733303859.952745,324645.500,50880,4,EM,1,100,RB
1733303860.002995,324695.750,50880,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303860.053246,324746.000,50880,4,EM,1,100,PS
1733303860.103496,324796.250,50914,4,EM,1,100,RS
1733303860.153746,324846.500,50914,4,EM,1,100,RB
1733303860.203996,324896.750,50914,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303860.254246,324947.000,50914,4,EM,1,100,PS
1733303860.304496,324997.250,50947,4,EM,1,100,RS
1733303860.354746,325047.500,50947,4,EM,1,100,RB
1733303860.404997,325097.750,50947,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303860.455247,325148.000,50947,4,EM,1,100,PS
1733303860.505497,325198.250,50979,4,EM,1,100,RS
1733303860.555747,325248.500,50979,4,EM,1,100,RB
1733303860.605997,325298.750,50979,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303860.656247,325349.000,50979,4,EM,1,100,PS
1733303860.707497,325400.250,51012,4,EM,1,100,RS
1733303860.758748,325451.500,51012,4,EM,1,100,RB
1733303860.809998,325502.750,51012,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303860.861248,325554.000,51012,4,EM,1,100,PS
1733303860.911498,325604.250,51046,4,EM,1,100,RS
1733303860.961748,325654.500,51046,4,EM,1,100,RB
1733303861.011998,325704.750,51046,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303861.062248,325755.000,51046,4,EM,1,100,PS
1733303861.113249,325806.000,51080,4,EM,1,100,RS
1733303861.164249,325857.000,51080,4,EM,1,100,RB
1733303861.215249,325908.000,51080,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303861.266249,325959.000,51080,4,EM,1,100,PS
1733303861.316499,326009.250,51113,4,EM,1,100,RS
1733303861.366749,326059.500,51113,4,EM,1,100,RB
