LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303873.124284,337817.000,53028,1,TH,1,100,30.334
1733303873.258284,337951.000,53044,1,TH,1,100,30.269
1733303873.391285,338084.000,53076,1,TH,1,100,30.269
1733303873.524285,338217.000,53093,1,TH,1,100,30.379
1733303873.658285,338351.000,53109,1,TH,1,100,30.379
1733303873.791286,338484.000,53143,1,TH,1,100,30.312
1733303873.924286,338617.000,53160,1,TH,1,100,30.312
1733303874.058287,338751.000,53176,1,TH,1,100,30.305
1733303874.191287,338884.000,53208,1,TH,1,100,30.305
1733303874.324287,339017.000,53225,1,TH,1,100,30.318
1733303874.458288,339151.000,53242,1,TH,1,100,30.325
1733303874.591288,339284.000,53275,1,TH,1,100,30.320
1733303874.724288,339417.000,53292,1,TH,1,100,30.320
1733303874.857289,339550.000,53309,1,TH,1,100,30.433
1733303874.991289,339684.000,53331,1,TH,1,100,30.433
1733303875.124290,339817.000,53348,1,TH,1,100,30.340
1733303875.257290,339950.000,53379,1,TH,1,100,30.340
1733303875.391290,340084.000,53398,1,TH,1,100,30.304
1733303875.524291,340217.000,53415,1,TH,1,100,30.304
1733303875.657291,340350.000,53446,1,TH,1,100,30.332
1733303875.791292,340484.000,53464,1,TH,1,100,30.332
1733303875.924292,340617.000,53480,1,TH,1,100,30.392
1733303876.057292,340750.000,53512,1,TH,1,100,30.399
1733303876.191293,340884.000,53529,1,TH,1,100,30.396
1733303876.324293,341017.000,53545,1,TH,1,100,30.396
1733303876.457294,341150.000,53581,1,TH,1,100,30.314
1733303876.591294,341284.000,53598,1,TH,1,100,30.314
1733303876.724294,341417.000,53614,1,TH,1,100,30.309
1733303876.857295,341550.000,53646,1,TH,1,100,30.309
1733303876.991295,341684.000,53663,1,TH,1,100,30.372
1733303877.124296,341817.000,53682,1,TH,1,100,30.372
1733303877.257296,341950.000,53699,1,TH,1,100,30.380
1733303877.391296,342084.000,53731,1,TH,1,100,30.387
1733303877.524297,342217.000,53747,1,TH,1,100,30.387
1733303877.657297,342350.000,53764,1,TH,1,100,30.387
1733303877.791298,342484.000,53796,1,TH,1,100,30.405
1733303877.924298,342617.000,53812,1,TH,1,100,30.405
1733303878.057298,342750.000,53831,1,TH,1,100,30.354
1733303878.191299,342884.000,53863,1,TH,1,100,30.354
